year1,comunidadOrigen,nombreUnidad,comunidadDestino,valor,Textbox21,Textbox4,Textbox11,Textbox19,Textbox26
2017,Castilla - La Mancha,Viajeros,Castilla - La Mancha,2.659.894,5.819.160,6.177.017,9.785.430,331.177,560.198
2017,Castilla - La Mancha,Viajeros,"Madrid, Comunidad de",3.159.266,5.819.160,3.608.413,9.785.430,229.021,560.198
2017,Castilla - La Mancha,Miles viajeros-kilómetro,Castilla - La Mancha,95.474,309.938,6.177.017,9.785.430,331.177,560.198
2017,Castilla - La Mancha,Miles viajeros-kilómetro,"Madrid, Comunidad de",214.464,309.938,3.608.413,9.785.430,229.021,560.198
2017,"Madrid, Comunidad de",Viajeros,Castilla - La Mancha,3.517.123,3.966.270,6.177.017,9.785.430,331.177,560.198
2017,"Madrid, Comunidad de",Viajeros,"Madrid, Comunidad de",449.147,3.966.270,3.608.413,9.785.430,229.021,560.198
2017,"Madrid, Comunidad de",Miles viajeros-kilómetro,Castilla - La Mancha,235.702,250.259,6.177.017,9.785.430,331.177,560.198
2017,"Madrid, Comunidad de",Miles viajeros-kilómetro,"Madrid, Comunidad de",14.557,250.259,3.608.413,9.785.430,229.021,560.198
2018,Castilla - La Mancha,Viajeros,Castilla - La Mancha,2.992.270,6.481.515,6.833.725,10.781.572,358.453,607.609
2018,Castilla - La Mancha,Viajeros,"Madrid, Comunidad de",3.489.245,6.481.515,3.947.847,10.781.572,249.156,607.609
2018,Castilla - La Mancha,Miles viajeros-kilómetro,Castilla - La Mancha,106.337,340.928,6.833.725,10.781.572,358.453,607.609
2018,Castilla - La Mancha,Miles viajeros-kilómetro,"Madrid, Comunidad de",234.591,340.928,3.947.847,10.781.572,249.156,607.609
2018,"Madrid, Comunidad de",Viajeros,Castilla - La Mancha,3.841.455,4.300.057,6.833.725,10.781.572,358.453,607.609
2018,"Madrid, Comunidad de",Viajeros,"Madrid, Comunidad de",458.602,4.300.057,3.947.847,10.781.572,249.156,607.609
2018,"Madrid, Comunidad de",Miles viajeros-kilómetro,Castilla - La Mancha,252.117,266.682,6.833.725,10.781.572,358.453,607.609
2018,"Madrid, Comunidad de",Miles viajeros-kilómetro,"Madrid, Comunidad de",14.565,266.682,3.947.847,10.781.572,249.156,607.609
2019,Castilla - La Mancha,Viajeros,Castilla - La Mancha,2.856.853,7.214.599,6.517.999,11.356.373,341.801,638.583
2019,Castilla - La Mancha,Viajeros,"Madrid, Comunidad de",4.357.746,7.214.599,4.838.374,11.356.373,296.783,638.583
2019,Castilla - La Mancha,Miles viajeros-kilómetro,Castilla - La Mancha,96.047,377.255,6.517.999,11.356.373,341.801,638.583
2019,Castilla - La Mancha,Miles viajeros-kilómetro,"Madrid, Comunidad de",281.208,377.255,4.838.374,11.356.373,296.783,638.583
2019,"Madrid, Comunidad de",Viajeros,Castilla - La Mancha,3.661.146,4.141.774,6.517.999,11.356.373,341.801,638.583
2019,"Madrid, Comunidad de",Viajeros,"Madrid, Comunidad de",480.628,4.141.774,4.838.374,11.356.373,296.783,638.583
2019,"Madrid, Comunidad de",Miles viajeros-kilómetro,Castilla - La Mancha,245.754,261.328,6.517.999,11.356.373,341.801,638.583
2019,"Madrid, Comunidad de",Miles viajeros-kilómetro,"Madrid, Comunidad de",15.574,261.328,4.838.374,11.356.373,296.783,638.583

