modo,year,Millones_viajeros_kilómetro,Textbox7
Carretera,2010,"162,24","283,92"
Carretera,2011,"158,00","291,06"
Carretera,2012,"154,73","287,12"
Carretera,2013,"150,83","286,21"
Carretera,2014,"157,53","300,93"
Carretera,2015,"159,73","311,39"
Carretera,2016,"156,40","325,71"
Carretera,2017,"165,85","348,93"
Carretera,2018,"171,57","362,19"
Carretera,2019,,
Carretera,2020,,
Ferroviario,2010,"1,53","283,92"
Ferroviario,2011,"1,19","291,06"
Ferroviario,2012,"1,22","287,12"
Ferroviario,2013,"1,27","286,21"
Ferroviario,2014,"1,89","300,93"
Ferroviario,2015,"1,95","311,39"
Ferroviario,2016,"1,92","325,71"
Ferroviario,2017,"1,94","348,93"
Ferroviario,2018,"1,88","362,19"
Ferroviario,2019,,
Ferroviario,2020,,
Aéreo,2010,"115,18","283,92"
Aéreo,2011,"127,23","291,06"
Aéreo,2012,"126,60","287,12"
Aéreo,2013,"129,19","286,21"
Aéreo,2014,"136,51","300,93"
Aéreo,2015,"144,54","311,39"
Aéreo,2016,"161,84","325,71"
Aéreo,2017,"175,32","348,93"
Aéreo,2018,"182,53","362,19"
Aéreo,2019,"188,91",
Aéreo,2020,"41,90",
Marítimo,2010,"4,96","283,92"
Marítimo,2011,"4,64","291,06"
Marítimo,2012,"4,57","287,12"
Marítimo,2013,"4,92","286,21"
Marítimo,2014,"5,00","300,93"
Marítimo,2015,"5,17","311,39"
Marítimo,2016,"5,54","325,71"
Marítimo,2017,"5,82","348,93"
Marítimo,2018,"6,21","362,19"
Marítimo,2019,"6,25",
Marítimo,2020,"1,23",

